Label,Alias 1,Alias 2,Alias 3
Child,Kid,,
Poster,Brochure,Flyer,
Working Out,Exercise,,
Woodland,Forest,,
Mobile Phone,Cell Phone,,
Outdoor Play Area,Playground,,
TV,Television,,
Person,Human,,
Chime,Windchime,,
Crocodile,Alligator,,
Freighter,Tanker,,
Daisy,Daisies,,
Cookie,Biscuit,,
Meeting Room,Conference Room,,
Handsaw,Hacksaw,,
Heater,Space Heater,,
Maze,Labyrinth,,
Mouth,Lip,,
Outer Space,Space,Universe,
Red Carpet,Red Carpet Premiere,,
Rooster,Cock Bird,,
Sea,Ocean,,
Sidewalk,Pavement,,
Signature,Autograph,,
Spider,Arachnid,,
Sport,Sports,,
Taxi,Cab,,
Tarmac,Asphalt,,
X-Ray,Medical Imaging X-Ray Film,,
Railway,Rail,Train Track,
Patio Umbrella,Garden Umbrella,,
Monitor,Display,Digital Display,LCD Screen
Headphones,Headset,,
Kissing,Make Out,Kiss,
Mailbox,Letterbox,,
Parking Lot,Parking,,
Accessories,Accessory,,
Alley,Alleyway,,
Bicycle,Bike,,
Atm,Cash Machine,,
Pillar,Column,,
Flower,Blossom,,
Jeans,Denim,,
Panther,Leopard,Jaguar,
Port,Dock,,
Postbox,Public Mailbox,,
Spire,Steeple,,
Totem,Tiki,,
Hot Tub,Jacuzzi,,
Clothing,Apparel,,
Weapon,Weaponry,,
Amphitheatre,Amphitheater,,
Angel,Archangel,,
Arch,Arched,,
Car,Automobile,,
Clothes Iron,Iron,,
Cocker Spaniel,Spaniel,,
Dinner,Supper,,
Diving,Diver,,
Frying Pan,Wok,,
Gravel,Dirt Road,,
Llama,Alpaca,,
Fishing Lure,Bait,,
Motor Scooter,Vespa,,
Nest,Bird Nest,,
Photography,Photo,,
Prayer Beads,Rosary,,
Rabbit,Bunny,,
Roller Coaster,Coaster,,
Town Square,Plaza,,
Straw,Hay,,
Streetcar,Tram,Trolley,
Sunset,Dusk,Dawn,Red Sky
Swamp,Marsh,Bog,
Sweet Potato,Yam,,
Sweets,Confectionery,,
Tartan,Plaid,,
Trumpet,Cornet,,
Violin,Viola,Fiddle,
Wasp,Hornet,Andrena,
Watercraft,Vessel,,
Wheelbarrow,Barrow,,
Beverage,Drink,,
City,Town,,
Baseball,Softball,,
Blackbird,Agelaius,,
Brain Coral,Alcyonacea,,
Coke,Coca Cola,,
Cream,Creme,,
Dragonfly,Anisoptera,,
Fir,Abies,,
Fly,Asilidae,,
Halibut,Flounder,,
Handrail,Banister,,
Heron,Ardeidae,,
Kangaroo,Wallaby,,
Orca,Killer Whale,,
Bread Loaf,French Loaf,,
Palm Tree,Arecaceae,,
Scuba Diving,Aqua Scuba,,
Sleeping,Asleep,,
Tuba,Euphonium,,
Woodpecker,Flicker Bird,,
Xylophone,Vibraphone,Glockenspiel,
Blow Dryer,Hair Drier,,
Speaker,Audio Speaker,,
Driving License,License,,
Bookcase,Bookshelf,,
Baggage,Luggage,,
Knitwear,Knitted Clothes,,
Graveyard,Cemetery,,
Dancing,Dance,,
Hugging,Hug,,
Laughing,Laugh,,
Ping Pong,Table Tennis,,
Drawing,Sketch,Illustrated,
Autumn,Fall Season,,
Billiards,Billiards Room,,
Cycling,Cyclist,Bike Cyclist,
Battleship,Warship,,
Applause,Clapping,,
Medical Procedure,Surgery,,
Speech,Public Speaking,,
Leisure Activities,Recreation,,
Sad,Worried,,
Courtroom,Court,,
Rally,Rally Racing,,
Running,Jogging,,
Prayer,Worship,,
Washer,Dryer,,
Gravestone,Tombstone,,
Foyer,Lobby,,
Cup,Mug,,
Boxing,Punching,,
Shower,Showering,,
Phone Booth,Telephone Booth,,
Supermarket,Department Store,,
Fire Station,Fire Department,,
Daisy,Aster,Asteraceae,
Guitarist,Playing Guitar,,
Pianist,Playing Piano,,